text,url,handle,prediction
ATXplained,https://kutkutx.studio/category/atxplained,kut,False
"As interest rates rise, the 'American dream' of homeownership fades for some",https://www.kut.org/business/2022-07-30/as-interest-rates-rise-the-american-dream-of-homeownership-fades-for-some,kut,True
Life & Arts,https://www.kut.org/life-arts,kut,False
Sustaining Members,https://www.kut.org/sustaining-membership,kut,False
Become a Member,https://www.kut.org/support-kut,kut,False
Uvalde’s Robb Elementary School Principal Mandy Gutierrez reinstated days after suspension,https://www.kut.org/news/2022-07-29/uvaldes-robb-elementary-school-principal-mandy-gutierrez-reinstated-days-after-suspension,kut,True
News Releases,https://www.kut.org/news-releases,kut,False
KUT Radio Schedule,https://www.kut.org/kut-radio-schedule,kut,False
Pause/Play,https://kutkutx.studio/category/pause-play,kut,False
In Black America,https://kutkutx.studio/category/in-black-america,kut,False
Ideas,//nymag.com/intelligencer/ideas/,nymag,False
"The Last of Piera Bochner’s Candles
                  The candlemaker is shutting up shop.",//nymag.com/strategist/2022/07/piera-bochner-candles-at-ssense.html,nymag,True
The 10 Very Best Swim Goggles,//nymag.com/strategist/article/best-swim-goggles.html,nymag,False
"The Very Best Mattress Toppers
                  To turn your too-firm or too-soft mattress into one that is just right.",//nymag.com/strategist/article/best-mattress-toppers.html,nymag,True
Give a Gift Subscription,https://nymag.com/maglinks/global-02,nymag,False
Bagels,//www.grubstreet.com/bestofnewyork/absolute-best-bagel-in-new-york.html,nymag,False
"Get In, Losers, We’re Moving to Montague Street
                  The block is heating up.",//www.curbed.com/2022/07/montague-street-books-are-magic.html,nymag,True
Power,https://www.thecut.com/power,nymag,False
Power,//thecut.com/power,nymag,False
Books,//vulture.com/books/,nymag,False
Culture & Arts,/entertainment/arts,huffpost,False
Wildfires Explode In West Amid Searing Winds,https://www.huffpost.com/entry/western-fires-explode-gavin-newsom-state-of-emergency_n_62e5ee91e4b0c60a5668dd98,huffpost,True
Coronavirus,/news/topic/coronavirus,huffpost,False
The Gas Industry Is Pumping Money Into A Tiny Local Race To Crush A Climate Champion,https://www.huffpost.com/entry/washington-climate_n_62e292bfe4b07f83766ccad2,huffpost,True
Québec,https://quebec.huffingtonpost.ca,huffpost,False
McCarthy Claims He Can’t Remember Panicked Jan. 6 Call To Cassidy Hutchinson,https://www.huffpost.com/entry/kevin-mccarthy-cassidy-hutchinson_n_62e42b53e4b006483a9d57e8,huffpost,True
Joe Biden,/news/topic/joe-biden,huffpost,False
Canada,https://www.huffingtonpost.ca/,huffpost,False
Sara Boboltz,https://www.huffpost.com/author/sara-boboltz,huffpost,False
Food & Drink,https://www.huffpost.com/life/taste,huffpost,False
Columbia woman charged after Fulton home invasion,/news/midmissourinews/columbia-woman-charged-after-fulton-home-invasion/article_57339f14-0d39-11ed-9efd-b33018a4850f.html,komunews,True
Facebook,https://www.facebook.com/komu8/,komunews,False
EmVP,/emvp/,komunews,False
"Winning Missouri lottery numbers announced, including Megamillions and Show Me Cash",/news/midmissourinews/winning-missouri-lottery-numbers-announced-including-megamillions-and-show-me-cash/article_1652fe12-0d67-11ed-9191-43110c87def1.html,komunews,True
Article with video1:57Multiple images+3,/news/midmissourinews/former-tuskegee-airmans-funeral-service-held-in-tipton/article_7559b76a-1010-11ed-b22a-d7c249f4ab17.html,komunews,True
Show Me Climate,/weather/showmeclimate/,komunews,False
Staying Connected,/site/staying-connected.html,komunews,False
KOMU 8 News,/news/,komunews,False
YouTube,https://www.youtube.com/user/komunews,komunews,False
Sports Xtra,/sports/sportsxtra/,komunews,False
Minnesota Chippewa Tribe citizens vote to remove ‘blood quantum’ requirement for membership.,https://sahanjournal.com/culture-community/minnesota-chippewa-tribe-citizens-vote-remove-blood-requirement-membership/,sahanjournal,True
Former Minneapolis City Council president Paul Ostrow wants to bring transparency and accountability to the county attorney’s office.￼,https://sahanjournal.com/democracy-politics/hennepin-county-attorney-election-election-paul-ostrow/,sahanjournal,True
Cultural Humility: A Key Element to Advancing Racial and Health Equity,https://sahanjournal.com/sponsored/cultural-humility-a-key-element-to-advancing-racial-and-health-equity/,sahanjournal,True
Abdirahman Mohamed,https://sahanjournal.com/author/abdirahman-mohamed/,sahanjournal,False
You can ride on Metro Transit for $1 with the Transit Assistance Program (TAP),https://sahanjournal.com/sponsored/you-can-ride-on-metro-transit-for-1-with-the-transit-assistance-program-tap/,sahanjournal,True
CULTURE & COMMUNITY,https://sahanjournal.com/topics/culture-community/,sahanjournal,False
BUSINESS & WORK,https://sahanjournal.com/topics/business-work/,sahanjournal,False
"District judge throws out Minnesota laws restricting abortion access, calling them unconstitutional.",https://sahanjournal.com/health/abortion-access-minnesota-laws-overturned-state-constitution/,sahanjournal,True
HEALTH,https://sahanjournal.com/topics/health/,sahanjournal,False
Minnesota legislator Ryan Winkler says he’ll build coalitions to combat crime and reform the criminal justice system.￼,https://sahanjournal.com/democracy-politics/hennepin-county-attorney-election-ryan-winkler/,sahanjournal,True
Book reviews/Ask the author,https://www.scotusblog.com/category/book-reviews/,scotusblog,False
Lengthier opinions and shrinking cohesion: Indications for the future of the Supreme Court,https://www.scotusblog.com/2022/07/lengthier-opinions-and-shrinking-cohesion-indications-for-the-future-of-the-supreme-court/,scotusblog,True
July 2021,https://www.scotusblog.com/events/,scotusblog,False
PRIVACY POLICY,/privacy-policy/,scotusblog,False
here,about:blank,scotusblog,False
orders,https://www.supremecourt.gov/orders/courtorders/070221zor_4gc5.pdf,scotusblog,True
Cases,https://www.scotusblog.com/case-files/terms/,scotusblog,False
SCOTUStalk,https://www.scotusblog.com/category/scotustalk/,scotusblog,False
"The morning read for Friday, July 29",https://www.scotusblog.com/2022/07/the-morning-read-for-friday-july-29/,scotusblog,True
Live,https://www.scotusblog.com/category/live/,scotusblog,False
おはよう日本,https://www.nhk.jp/p/ohayou/ts/QLP4RZ8ZY3/,nhk_news,False
暮らし,/news/cat02.html,nhk_news,False
スポーツ,/news/cat07.html,nhk_news,False
アニメ,https://www.nhk.jp/g/anime/,nhk_news,False
ビジネス特集,/news/business_tokushu/,nhk_news,False
番組表番組表,https://www.nhk.jp/timetable/?cid=dchk-commonheader,nhk_news,False
新着,/news/tokushu/,nhk_news,False
News Up,/news/netnewsup/,nhk_news,False
健康,https://www.nhk.or.jp/kenko/,nhk_news,False
BSメッセージの消去,https://pid.nhk.or.jp/cas/,nhk_news,False
Rep. Bacon: A Crisis in Recruiting for U.S. Military,/en/news/news-articles/rep-bacon-a-crisis-in-recruiting-for-us-military/,nebpublicmedia,True
Watch,#,nebpublicmedia,False
Contact Us,/about/contact-us/,nebpublicmedia,False
View More,/en/newsletters/,nebpublicmedia,False
Learn More,/en/watch/passport/,nebpublicmedia,False
twitter,https://twitter.com/NebPublicMedia,nebpublicmedia,False
Back to Discover,#,nebpublicmedia,False
Editorial Guidelines,/en/about/editorial-guidelines/,nebpublicmedia,False
News,/en/news/,nebpublicmedia,False
PBS LearningMedia Library,https://net.pbslearningmedia.org/,nebpublicmedia,False
The 1619 Project Education Network,/blog/announcing-1619-project-education-network,pulitzercenter,False
Programs for Teachers and Students,/education,pulitzercenter,False
Brian  Adams,/people/brian-adams,pulitzercenter,False
Women,/women,pulitzercenter,False
Eyewitness Photojournalism Grant,/grants-fellowships/opportunities-journalists/eyewitness-photojournalism-grant-diversify,pulitzercenter,True
COVID-19,/journalism/issues/covid-19,pulitzercenter,False
